metric,baseline_mean,baseline_std,rawlsian_mean,rawlsian_std,difference_rawlsian_minus_baseline
total_reward,6.592498792901588,2.9590120273670775,6.314511355504427,2.921515722559414,-0.2779874373971607
mean_reward,0.8345316516313539,0.03728360336581297,0.7089915144680928,0.07814386021716412,-0.12554013716326107
mean_min_experience,0.4274934038812826,0.07306149626873074,0.4740140440093195,0.06591867241986156,0.046520640128036916
final_min_experience,-0.5015574635906331,0.33279893102013586,-0.38748751570592754,0.5023691677268074,0.11406994788470559
mean_vehicle_experience,0.6506992879959038,0.02188276529935214,0.6590712434996183,0.02781447153989857,0.008371955503714501
mean_gini_experience,0.11619590353863414,0.02506140697141357,0.12101618292260792,0.026864909914157777,0.00482027938397378
final_gini_experience,0.3403594707083996,0.08342484592209162,0.37741896913884965,0.16371150365152992,0.03705949843045003
total_collision_count,1.76,0.6531972647421809,1.62,0.7885544888073251,-0.1399999999999999
final_collision_count,1.76,0.6531972647421809,1.62,0.7885544888073251,-0.1399999999999999
mean_n_vehicles,5.0,0.0,5.0,0.0,0.0
steps,7.9,3.5290998079603044,8.75,3.585534912124076,0.8499999999999996
least_advantaged_ego_steps,0.0,0.0,0.03,0.22270150335361366,0.03
least_advantaged_non_ego_steps,7.9,3.5290998079603044,8.72,3.545034940204783,0.8200000000000003
least_advantaged_ego_ratio,0.0,0.0,0.002095238095238094,0.01570356886741047,0.002095238095238094
mean_least_advantaged_speed,17.06586938250575,1.8668109082850441,17.82914759400586,1.9334128551842782,0.7632782115001113
least_advantaged_crash_steps,0.88,0.32659863237109044,0.81,0.3942772444036626,-0.06999999999999995
mean_neighbourhood_min_experience,0.46299336891123105,0.07041004652588664,0.4740140440093195,0.06591867241986156,0.011020675098088462
mean_neighbourhood_gini_experience,0.12388863610879618,0.025750936649528103,0.12101618292260792,0.026864909914157777,-0.0028724531861882563
neighbourhood_least_advantaged_ego_ratio,0.007398809523809522,0.030591990116815855,0.002095238095238094,0.01570356886741047,-0.005303571428571428
