episode,epsilon,episode_reward,episode_length,merge_completed,merge_failed,collision,truncated,time_to_merge,termination_reason,mean_experience,min_experience,final_min_experience,final_gini_experience,near_collision_steps,merge_bonus_applied,non_merge_penalty_applied
40,0.05,49.20221895853075,5,0,0,1,0,,collision,11.67633382693085,9.84044379170615,0.030704347314259077,0.4702103252069654,1,0,0
41,0.05,-69.38166400880073,34,1,0,0,0,34,merge_completed,1.7925413696471575,-2.0700489414353154,1.0,0.0,0,1,0
42,0.05,47.76647539869765,5,0,0,1,0,,collision,11.163448652933905,9.55329507973953,0.06842239116364232,0.43595941855063325,1,0,0
43,0.05,48.627053186740824,5,0,0,1,0,,collision,11.070887441737636,9.725410637348165,0.31882039881147073,0.25825336103475993,0,0,0
44,0.05,54.94123377098313,6,0,0,1,0,,collision,11.238655715238735,9.156872295163856,0.1385325009104187,0.37832363081454234,1,0,0
45,0.05,45.058374081823274,5,0,0,1,0,,collision,11.340456408865979,9.011674816364655,0.20369037528855874,0.33077842984353145,0,0,0
46,0.05,-159.52555023581303,36,1,0,0,0,36,merge_completed,-0.062150412485369344,-4.459043062105917,1.0,0.0,0,1,0
47,0.05,68.68278502877097,7,1,0,0,0,7,merge_completed,12.09757462184873,9.668969289824423,0.3402128487229423,0.24615013648979467,0,1,0
48,0.05,-8.816517912274648,26,1,0,0,0,26,merge_completed,4.755708628386903,-0.3775583812413326,1.0,0.0,0,1,0
49,0.05,-279.0895557358649,50,1,0,0,0,50,merge_completed,-2.274806801984238,-5.601791114717298,1.0,0.0,0,1,0
50,0.05,-556.5559853001122,70,1,0,0,0,70,merge_completed,-4.60693610131802,-7.965085504287317,0.447722138237427,0.1907402833650662,0,1,0
51,0.05,99.57884092780111,23,1,0,0,0,23,merge_completed,6.903127181963874,4.286036562078309,1.0,0.0,0,1,0
52,0.05,68.42545934067982,24,1,0,0,0,24,merge_completed,6.636276102896649,2.8093941391949926,0.5534428291452114,0.14373144684716488,0,1,0
53,0.05,58.15878163497845,26,1,0,0,0,26,merge_completed,5.529612461905609,2.198414678268402,0.5120951894467972,0.16133402644171602,0,1,0
54,0.05,-777.2097512798396,100,0,1,0,1,,max_steps_unmerged,-5.453068850286241,-7.7620975127983955,1.0,0.0,0,0,1
55,0.05,27.715065281182575,26,1,0,0,0,26,merge_completed,4.68234266928773,1.0275025108147144,1.0,0.0,0,1,0
56,0.05,-764.0307536266936,95,1,0,0,0,95,merge_completed,-5.2645545694652425,-8.052955301333617,1.0,0.0,0,1,0
57,0.05,-971.0300967483568,100,1,0,0,0,100,merge_completed,-5.913936666363391,-9.720300967483567,-27.0,0.5,0,1,0
58,0.05,103.98841203463371,12,1,0,0,0,12,merge_completed,9.000191803583427,8.58236766955281,0.8149254605820351,0.05098681555732143,0,1,0
59,0.05,123.60854115915464,23,1,0,0,0,23,merge_completed,7.530012166740724,5.33080613735455,0.9540271420343684,0.011763618062584413,0,1,0
60,0.05,132.83137260559457,19,1,0,0,0,19,merge_completed,9.842144319870885,6.938493295031293,0.7270230778430564,0.07903105802670418,0,1,0
61,0.05,157.54175645870117,22,1,0,1,0,22,merge_completed,8.667803417814012,7.115534384486417,1.0,0.0,0,1,0
62,0.05,155.14639085690538,26,1,0,0,0,26,merge_completed,7.058749087023319,5.928707340650207,1.0,0.0,0,1,0
63,0.05,140.50177411251084,26,1,0,1,0,26,merge_completed,6.96993721943511,5.365452850481186,0.011924952850556099,0.48821557585178255,1,1,0
64,0.05,169.7220260207658,19,1,0,1,0,19,merge_completed,10.297668988709107,8.880106632671884,0.7213992986186406,0.08092274163377633,0,1,0
65,0.05,152.47887812587848,22,1,0,1,0,22,merge_completed,8.52730265508081,6.885403551176295,0.39332540790142595,0.21770743168041573,0,1,0
66,0.05,147.14380440597895,23,1,0,1,0,23,merge_completed,8.272779129156124,6.354078452433868,0.7570874870007422,0.06912362497495694,0,1,0
67,0.05,146.82652600041666,25,1,0,1,0,25,merge_completed,7.158179185762885,5.833061040016666,0.19384651779066048,0.3376286106279438,1,1,0
68,0.05,158.44928806305052,21,1,0,1,0,21,merge_completed,9.471170436509151,7.497585145859548,0.18032071210226083,0.34722735926484516,1,1,0
69,0.05,157.95899101463996,20,1,0,1,0,20,merge_completed,9.900509811378623,7.8479495507319985,0.5660523127372186,0.13854827317495766,0,1,0
70,0.05,158.43421659221784,20,1,0,1,0,20,merge_completed,9.720972768449917,7.871710829610892,0.4569630757801694,0.1863591923663015,0,1,0
71,0.05,153.37182242484994,21,1,0,1,0,21,merge_completed,9.269327254352785,7.255801067849997,0.7784599549628786,0.06228423766835545,0,1,0
72,0.05,142.7396622451373,22,1,0,0,0,22,merge_completed,8.599267207968985,6.442711920233514,0.5235994270218829,0.1563404936129824,0,1,0
73,0.05,139.11134398221802,24,1,0,1,0,24,merge_completed,7.96374968139342,5.754639332592418,0.20948007926575823,0.3268015465017595,0,1,0
74,0.05,155.23443122560053,22,1,0,1,0,22,merge_completed,9.003049708130023,7.010655964800024,0.22151630170203548,0.3186546496404681,0,1,0
75,0.05,147.37540373529652,22,1,0,1,0,22,merge_completed,8.470049113700329,6.653427442513478,0.22487502774305446,0.3164098192471052,0,1,0
76,0.05,126.4527110717396,13,1,0,0,0,13,merge_completed,11.62824487943256,9.65020854397997,1.0,0.0,0,1,0
77,0.05,138.41071443199604,26,1,0,0,0,26,merge_completed,6.719748649923703,5.285027478153694,0.8721098900142119,0.034156678159746434,0,1,0
78,0.05,134.52015353460925,21,1,0,0,0,21,merge_completed,8.979291044079554,6.358102549267107,0.6539014412326555,0.10463095023044322,0,1,0
79,0.05,129.45138413436837,18,1,0,1,0,18,merge_completed,10.114406087277754,7.136188007464909,0.8776310537659615,0.032585993395402024,0,1,0
80,0.05,113.24008513024458,28,1,0,0,0,28,merge_completed,6.301550114834938,4.008574468937306,-3.0,0.5,0,1,0
81,0.05,146.19674718286265,20,1,0,0,0,20,merge_completed,9.565013688995904,7.259837359143132,0.44404688912480783,0.19249828903136867,0,1,0
82,0.05,149.78926694344258,22,1,0,1,0,22,merge_completed,8.489245395719687,6.763148497429208,0.6756224455309304,0.09679315150445134,0,1,0
83,0.05,164.50580837905866,25,1,0,0,0,25,merge_completed,7.846056382041579,6.540232335162346,1.0,0.0,0,1,0
84,0.05,136.19577334221074,26,1,0,0,0,26,merge_completed,6.7331745654520905,5.199837436238875,1.0,0.0,0,1,0
85,0.05,67.07550220039123,7,0,0,1,0,,collision,11.771590023571253,9.58221460005589,0.006833134915642416,0.4932132399315454,1,0,0
86,0.05,155.7922060378242,24,1,0,1,0,24,merge_completed,7.70018830790417,6.449675251576008,1.0,0.0,0,1,0
87,0.05,150.23000503141708,22,1,0,1,0,22,merge_completed,8.976383965250976,6.783182046882595,1.0,0.0,0,1,0
88,0.05,156.83706606934982,22,1,0,1,0,22,merge_completed,9.069764795204575,7.0835030031522646,0.18242630879700383,0.3457186655609821,1,1,0
89,0.05,147.20428188160074,25,1,0,0,0,25,merge_completed,7.166460912383492,5.848171275264029,1.0,0.0,0,1,0
90,0.05,131.86245909163944,28,1,0,0,0,28,merge_completed,6.114547347611351,4.673659253272837,1.0,0.0,0,1,0
91,0.05,135.85782749622348,26,1,0,0,0,26,merge_completed,6.890474228609761,5.1868395190855185,1.0,0.0,0,1,0
92,0.05,142.39928055362194,27,1,0,0,0,27,merge_completed,6.559771681047687,5.237010390874887,1.0,0.0,0,1,0
93,0.05,165.01531761808116,19,1,0,1,0,19,merge_completed,9.93033437042988,8.632385137793745,1.0,0.0,0,1,0
94,0.05,145.8149237586523,24,1,0,1,0,24,merge_completed,7.87220701695809,6.033955156610513,1.0,0.0,0,1,0
95,0.05,140.9877073948014,27,1,0,0,0,27,merge_completed,6.69293654915288,5.184729903511163,1.0,0.0,0,1,0
96,0.05,101.6813870604754,11,1,0,0,0,11,merge_completed,11.054615773011191,9.152853369134128,0.8110036905934841,0.052179990131488996,0,1,0
97,0.05,145.34826437548764,24,1,0,1,0,24,merge_completed,8.176983811290578,6.0145110156453185,0.3043287015558828,0.2666779078058612,0,1,0
98,0.05,158.39599339358116,22,1,0,1,0,22,merge_completed,8.777200885981573,7.154363336071871,0.06274024699798661,0.440963704747972,1,1,0
99,0.05,151.9759461114157,25,1,0,0,0,25,merge_completed,7.642120847298623,6.039037844456629,1.0,0.0,0,1,0
