seed,condition,orig_completion,orig_collision,orig_U_min,orig_gini,wsc_completion,wsc_collision,wsc_U_min,wsc_gini,delta_completion_wsc_minus_orig,delta_collision_wsc_minus_orig,orig_contrast_Umin_vs_baseline,wsc_contrast_Umin_vs_baseline,I_Umin,orig_contrast_gini_vs_baseline,wsc_contrast_gini_vs_baseline,I_Gini
900101,baseline,0.99609375,0.00390625,0.99609375,0.001953125,0.859375,0.140625,0.8828125,0.05859375,-0.13671875,0.13671875,,,,,,
900101,mean,0.9921875,0.0078125,0.9921875,0.00390625,0.96875,0.03125,0.9666524801756697,0.016100248605939914,-0.0234375,0.0234375,-0.00390625,0.08383998017566974,0.08774623017566974,0.001953125,-0.042493501394060086,-0.044446626394060086
900101,ggi,1.0,0.0,0.9926071699575805,0.001497235097911575,0.96875,0.03125,0.9687442225300102,0.015626083676321165,-0.03125,0.03125,-0.0034865800424195292,0.08593172253001025,0.08941830257242978,-0.0004558899020884249,-0.042967666323678835,-0.04251177642159041
900101,maximin,0.98828125,0.01171875,0.9876951471617499,0.0060305062161625945,0.90234375,0.09765625,0.9021181314559733,0.04887688045508192,-0.0859375,0.0859375,-0.008398602838250113,0.019305631455973304,0.027704234294223418,0.0040773812161625945,-0.009716869544918079,-0.013794250761080673
900102,baseline,0.9765625,0.0234375,0.9637220763488543,0.014329428291206663,0.96875,0.03125,0.968486742324991,0.015674393686081516,-0.0078125,0.0078125,,,,,,
900102,mean,0.99609375,0.00390625,0.981079251373143,0.0050454036045481385,0.9921875,0.0078125,0.9841554608548384,0.005751684078129536,-0.00390625,0.00390625,0.017357175024288685,0.015668718529847414,-0.0016884564944412706,-0.009284024686658524,-0.00992270960795198,-0.0006386849212934569
900102,ggi,1.0,0.0,0.9992439734996879,0.00014197881375351017,0.984375,0.015625,0.9672918941066542,0.011067747546335691,-0.015625,0.015625,0.03552189715083354,-0.0011948482183368192,-0.036716745369170356,-0.014187449477453153,-0.004606646139745825,0.009580803337707328
900102,maximin,0.87890625,0.12109375,0.8728298446930385,0.06182722236320082,0.953125,0.046875,0.953125,0.0234375,0.07421875,-0.07421875,-0.09089223165581584,-0.01536174232499099,0.07553048933082485,0.04749779407199416,0.007763106313918484,-0.039734687758075676
900103,baseline,0.90234375,0.09765625,0.90234375,0.048828125,0.84375,0.15625,0.8229962891654774,0.082880391695019,-0.05859375,0.05859375,,,,,,
900103,mean,0.9765625,0.0234375,0.9762747905892302,0.011772738306414194,0.40234375,0.5703125,0.41044818181764947,0.29299462356101946,-0.57421875,0.546875,0.07393104058923017,-0.41254810734782793,-0.4864791479370581,-0.03705538669358581,0.21011423186600048,0.2471696185595863
900103,ggi,0.9296875,0.0703125,0.9280528415768685,0.0354899662875305,0.93359375,0.06640625,0.9228048245999493,0.035245358104275024,0.00390625,-0.00390625,0.025709091576868515,0.09980853543447188,0.07409944385760336,-0.013338158712469503,-0.047635033590743975,-0.03429687487827447
900103,maximin,0.96875,0.03125,0.9799890431947791,0.004162192687537394,0.86328125,0.13671875,0.8581375404832512,0.06937976345129229,-0.10546875,0.10546875,0.07764529319477909,0.03514125131777379,-0.042504041877005294,-0.0446659323124626,-0.013500628243726706,0.031165304068735897
900104,baseline,0.99609375,0.00390625,0.992718952253636,0.0026171594073854084,0.9921875,0.0078125,0.9787692512176782,0.006743148386786606,-0.00390625,0.00390625,,,,,,
900104,mean,0.9609375,0.0390625,0.96484375,0.017578125,0.97265625,0.02734375,0.9608192013585395,0.015917440710250145,0.01171875,-0.01171875,-0.027875202253636044,-0.017950049859138728,0.009925152394497316,0.014960965592614592,0.009174292323463538,-0.005786673269151055
900104,ggi,0.890625,0.109375,0.890616006386534,0.05468918662619904,0.734375,0.265625,0.7180625942085702,0.13633858116957662,-0.15625,0.15625,-0.102102945867102,-0.260706657009108,-0.158603711142006,0.05207202721881363,0.12959543278279,0.07752340556397638
900104,maximin,0.6640625,0.1015625,0.7731811659382318,0.09023783273935883,0.96875,0.03125,0.9667794461773126,0.0160607266823271,0.3046875,-0.0703125,-0.21953778631540422,-0.01198980504036562,0.2075479812750386,0.08762067333197342,0.009317578295540491,-0.07830309503643293
910101,baseline,1.0,0.0,0.9996325391116607,8.652121585430706e-05,0.99609375,0.00390625,0.9960643031034162,0.0019586481317350134,-0.00390625,0.00390625,,,,,,
910101,mean,0.98828125,0.01171875,0.9881498248762304,0.005884028472294602,0.94140625,0.04296875,0.937369157640549,0.028121712246295852,-0.046875,0.03125,-0.011482714235430347,-0.05869514546286725,-0.0472124312274369,0.005797507256440296,0.02616306411456084,0.020365556858120543
910101,ggi,0.984375,0.015625,0.9826928930173574,0.008129451784917531,0.94140625,0.05078125,0.9112295822450465,0.02322761807832586,-0.04296875,0.03515625,-0.016939646094303318,-0.08483472085836974,-0.06789507476406642,0.008042930569063224,0.02126896994659085,0.013226039377527626
910101,maximin,0.95703125,0.04296875,0.9567653207000334,0.021539337984632607,0.99609375,0.00390625,0.99609375,0.001953125,0.0390625,-0.0390625,-0.04286721841162733,2.9446896583795734e-05,0.042896665308211124,0.0214528167687783,-5.523131735013422e-06,-0.021458339900513313
910102,baseline,0.71484375,0.28515625,0.7132841744370693,0.14293699064743742,0.49609375,0.50390625,0.49609375,0.251953125,-0.21875,0.21875,,,,,,
