outcome,condition,excluded_seed,leave_one_out_estimate,full_n12_estimate,shift_from_full,is_largest_shift_seed
U_min,mean,900101,-0.061252519622063524,-0.04883595713891908,-0.012416562483144447,False
U_min,mean,900102,-0.05312209356114433,-0.04883595713891908,-0.004286136422225251,False
U_min,mean,900103,-0.009050212520906441,-0.04883595713891908,0.03978574461801264,False
U_min,mean,900104,-0.054177876187411475,-0.04883595713891908,-0.005341919048492398,False
U_min,mean,910101,-0.04898355040359927,-0.04883595713891908,-0.00014759326468019585,False
U_min,mean,910102,-0.13723782539831675,-0.04883595713891908,-0.08840186825939766,True
U_min,mean,920101,-0.06024220750802571,-0.04883595713891908,-0.011406250369106634,False
U_min,mean,920102,-0.022600848950686894,-0.04883595713891908,0.026235108188232183,False
U_min,mean,920103,-0.048633571526366874,-0.04883595713891908,0.00020238561255220278,False
U_min,mean,920104,-0.014313336269609032,-0.04883595713891908,0.034522620869310044,False
U_min,mean,920105,-0.009806230788476911,-0.04883595713891908,0.03902972635044216,False
U_min,mean,920106,-0.06661121293042173,-0.04883595713891908,-0.017775255791502652,False
U_min,ggi,900101,0.07209014607643566,0.07353415911776849,-0.001444013041332834,False
U_min,ggi,900102,0.08355696861658111,0.07353415911776849,0.010022809498812624,False
U_min,ggi,900103,0.07348276959596532,0.07353415911776849,-5.1389521803169025e-05,False
U_min,ggi,900104,0.09463760186865709,0.07353415911776849,0.0211034427508886,False
U_min,ggi,910101,0.0863913621979353,0.07353415911776849,0.012857203080166815,False
U_min,ggi,910102,0.0211812478785928,0.07353415911776849,-0.052352911239175695,True
U_min,ggi,920101,0.07103180462867856,0.07353415911776849,-0.0025023544890899335,False
U_min,ggi,920102,0.06383458902839304,0.07353415911776849,-0.009699570089375456,False
U_min,ggi,920103,0.07847473579879125,0.07353415911776849,0.004940576681022754,False
U_min,ggi,920104,0.08980559995747853,0.07353415911776849,0.016271440839710036,False
U_min,ggi,920105,0.09608257835693523,0.07353415911776849,0.022548419239166742,False
U_min,ggi,920106,0.05184050540877807,0.07353415911776849,-0.021693653708990422,False
U_min,maximin,900101,-0.022614464077403255,-0.018421239213101025,-0.004193224864302229,False
U_min,maximin,900102,-0.02696230544436702,-0.018421239213101025,-0.008541066231265996,False
U_min,maximin,900103,-0.016231893516382465,-0.018421239213101025,0.00218934569671856,False
U_min,maximin,900104,-0.03896389562111373,-0.018421239213101025,-0.020542656408012703,False
U_min,maximin,910101,-0.023995594169583957,-0.018421239213101025,-0.005574354956482931,False
U_min,maximin,910102,-0.006836018959989138,-0.018421239213101025,0.011585220253111888,False
U_min,maximin,920101,-0.026832065677722994,-0.018421239213101025,-0.008410826464621969,False
U_min,maximin,920102,0.034143279953156865,-0.018421239213101025,0.052564519166257886,True
U_min,maximin,920103,-0.01800051958535616,-0.018421239213101025,0.00042071962774486646,False
U_min,maximin,920104,-0.014350748986891997,-0.018421239213101025,0.0040704902262090285,False
U_min,maximin,920105,-0.00802463701600976,-0.018421239213101025,0.010396602197091265,False
U_min,maximin,920106,-0.05238600745554875,-0.018421239213101025,-0.03396476824244772,False
Gini,mean,900101,0.02960608088979688,0.023435021949475457,0.0061710589403214215,False
Gini,mean,900102,0.025623540755909,0.023435021949475457,0.002188518806433542,False
Gini,mean,900103,0.003095513166738109,0.023435021949475457,-0.020339508782737346,False
Gini,mean,900104,0.026091539696623322,0.023435021949475457,0.002656517747147865,False
Gini,mean,910101,0.023714064230507727,0.023435021949475457,0.00027904228103227055,False
Gini,mean,910102,0.06779090833578377,0.023435021949475457,0.044355886386308316,True
Gini,mean,920101,0.02930483558849554,0.023435021949475457,0.005869813639020081,False
Gini,mean,920102,0.010536751793890612,0.023435021949475457,-0.012898270155584845,False
Gini,mean,920103,0.023582450366809084,0.023435021949475457,0.00014742841733362752,False
Gini,mean,920104,0.006190490470308004,0.023435021949475457,-0.017244531479167453,False
Gini,mean,920105,0.003498207507692751,0.023435021949475457,-0.019936814441782705,False
Gini,mean,920106,0.03218588059115069,0.023435021949475457,0.008750858641675234,False
Gini,ggi,900101,-0.037522015976981855,-0.037937829347365906,0.0004158133703840508,False
Gini,ggi,900102,-0.042257705046008925,-0.037937829347365906,-0.004319875698643019,False
Gini,ggi,900103,-0.0382688252081924,-0.037937829347365906,-0.000330995860826494,False
Gini,ggi,900104,-0.04843430524839701,-0.037937829347365906,-0.010496475901031102,False
Gini,ggi,910101,-0.04258909014053805,-0.037937829347365906,-0.004651260793172143,False
Gini,ggi,910102,-0.01390640997019989,-0.037937829347365906,0.024031419377166015,True
Gini,ggi,920101,-0.03656041819507951,-0.037937829347365906,0.0013774111522863938,False
Gini,ggi,920102,-0.03274913924468386,-0.037937829347365906,0.005188690102682046,False
Gini,ggi,920103,-0.04017479359614064,-0.037937829347365906,-0.002236964248774731,False
Gini,ggi,920104,-0.04615161883862206,-0.037937829347365906,-0.008213789491256153,False
Gini,ggi,920105,-0.04962962315906976,-0.037937829347365906,-0.011691793811703856,False
Gini,ggi,920106,-0.02701000754447687,-0.037937829347365906,0.010927821802889037,False
Gini,maximin,900101,0.01499215567137303,0.012593288468668556,0.0023988672027044737,False
Gini,maximin,900102,0.017350377216554393,0.012593288468668556,0.004757088747885836,False
Gini,maximin,900103,0.010904923414116979,0.012593288468668556,-0.0016883650545515775,False
Gini,maximin,900104,0.020856596060041418,0.012593288468668556,0.008263307591372861,False
Gini,maximin,910101,0.015688891047685092,0.012593288468668556,0.0030956025790165355,False
Gini,maximin,910102,0.005548039961028206,0.012593288468668556,-0.00704524850764035,False
Gini,maximin,920101,0.017893048638885835,0.012593288468668556,0.005299760170217278,False
Gini,maximin,920102,-0.01315726327139417,0.012593288468668556,-0.025750551740062726,True
Gini,maximin,920103,0.013007114136051955,0.012593288468668556,0.00041382566738339815,False
Gini,maximin,920104,0.010804774747566859,0.012593288468668556,-0.0017885137211016977,False
Gini,maximin,920105,0.0073393933386156325,0.012593288468668556,-0.005253895130052924,False
Gini,maximin,920106,0.029891410663497455,0.012593288468668556,0.0172981221948289,False
