policy_step,simulation_time,controller,controller_role,active,exited,route_progress,speed,commanded_action,commanded_action_name,commanded_acceleration,realised_acceleration,peer_progress,peer_speed,action_A,action_B,joint_action_category,Q_maintain,Q_accelerate,Q_decelerate,greedy_action,best_Q,second_best_Q,Q_margin,Q_range,action_mask,collision_flag,termination_flag,truncation_flag,master_seed,checkpoint_step,checkpoint_sha256,validation_block_id,assignment,scenario_block,eval_seed,episode_index
0,0.0,A,mainline,True,False,28.0,20.0,2,decelerate,0.0,-2.9999999999999716,20.0,20.0,2,2,decelerate-decelerate,-0.1058952659368515,-0.029513433575630188,0.2260245829820633,2,0.2260245829820633,-0.029513433575630188,0.2555380165576935,0.3319198489189148,"[true, true, true]",False,False,False,65032,0,0d1908d687100f5da9e16584726ac7f7a062209261bffeb0dafabe0151971730,validation_001,0,0,2015149349,0
0,0.0,B,ramp,True,False,20.0,20.0,2,decelerate,0.0,-2.9999999999999716,28.0,20.0,2,2,decelerate-decelerate,-0.10578124970197678,0.06074320524930954,0.10109710693359375,2,0.10109710693359375,0.06074320524930954,0.04035390168428421,0.20687835663557053,"[true, true, true]",False,False,False,65032,0,0d1908d687100f5da9e16584726ac7f7a062209261bffeb0dafabe0151971730,validation_001,0,0,2015149349,0
0,0.0,B_front,background_mainline,True,,120.0,20.0,,,,,,,,,,,,,,,,,,,,,,65032,0,0d1908d687100f5da9e16584726ac7f7a062209261bffeb0dafabe0151971730,validation_001,0,0,2015149349,0
0,0.0,B_rear,background_mainline,True,,3.9432301326797385,19.44110432056259,,,,,,,,,,,,,,,,,,,,,,65032,0,0d1908d687100f5da9e16584726ac7f7a062209261bffeb0dafabe0151971730,validation_001,0,0,2015149349,0
1,0.2,A,mainline,True,False,31.939999999999998,19.400000000000006,2,decelerate,-3.0,-2.9999999999999716,23.939999999999998,19.400000000000006,2,2,decelerate-decelerate,-0.10224898159503937,-0.02622736245393753,0.22519749402999878,2,0.22519749402999878,-0.02622736245393753,0.2514248564839363,0.32744647562503815,"[true, true, true]",False,False,False,65032,0,0d1908d687100f5da9e16584726ac7f7a062209261bffeb0dafabe0151971730,validation_001,0,0,2015149349,0
1,0.2,B,ramp,True,False,23.939999999999998,19.400000000000006,2,decelerate,-3.0,-2.9999999999999716,31.939999999999998,19.400000000000006,2,2,decelerate-decelerate,-0.1063787117600441,0.06058222055435181,0.10117675364017487,2,0.10117675364017487,0.06058222055435181,0.04059453308582306,0.20755546540021896,"[true, true, true]",False,False,False,65032,0,0d1908d687100f5da9e16584726ac7f7a062209261bffeb0dafabe0151971730,validation_001,0,0,2015149349,0
1,0.2,B_front,background_mainline,True,,124.0,20.0,,,,,,,,,,,,,,,,,,,,,,65032,0,0d1908d687100f5da9e16584726ac7f7a062209261bffeb0dafabe0151971730,validation_001,0,0,2015149349,0
1,0.2,B_rear,background_mainline,True,,7.7796490462312535,18.929084269131874,,,,,,,,,,,,,,,,,,,,,,65032,0,0d1908d687100f5da9e16584726ac7f7a062209261bffeb0dafabe0151971730,validation_001,0,0,2015149349,0
2,0.4,A,mainline,True,False,35.760000000000005,18.80000000000001,2,decelerate,-3.0,-2.9999999999999716,27.76,18.80000000000001,2,2,decelerate-decelerate,-0.09950004518032074,-0.023335307836532593,0.22468768060207367,2,0.22468768060207367,-0.023335307836532593,0.24802298843860626,0.3241877257823944,"[true, true, true]",False,False,False,65032,0,0d1908d687100f5da9e16584726ac7f7a062209261bffeb0dafabe0151971730,validation_001,0,0,2015149349,0
2,0.4,B,ramp,True,False,27.76,18.80000000000001,2,decelerate,-3.0,-2.9999999999999716,35.760000000000005,18.80000000000001,2,2,decelerate-decelerate,-0.1069040596485138,0.06052570044994354,0.10118123888969421,2,0.10118123888969421,0.06052570044994354,0.04065553843975067,0.208085298538208,"[true, true, true]",False,False,False,65032,0,0d1908d687100f5da9e16584726ac7f7a062209261bffeb0dafabe0151971730,validation_001,0,0,2015149349,0
2,0.4,B_front,background_mainline,True,,128.0,20.0,,,,,,,,,,,,,,,,,,,,,,65032,0,0d1908d687100f5da9e16584726ac7f7a062209261bffeb0dafabe0151971730,validation_001,0,0,2015149349,0
2,0.4,B_rear,background_mainline,True,,11.517059587968927,18.44913703551156,,,,,,,,,,,,,,,,,,,,,,65032,0,0d1908d687100f5da9e16584726ac7f7a062209261bffeb0dafabe0151971730,validation_001,0,0,2015149349,0
3,0.6000000000000001,A,mainline,True,False,39.46000000000001,18.200000000000017,2,decelerate,-3.0,-2.9999999999999716,31.460000000000004,18.200000000000017,2,2,decelerate-decelerate,-0.0972188413143158,-0.02067812904715538,0.22433297336101532,2,0.22433297336101532,-0.02067812904715538,0.2450111024081707,0.3215518146753311,"[true, true, true]",False,False,False,65032,0,0d1908d687100f5da9e16584726ac7f7a062209261bffeb0dafabe0151971730,validation_001,0,0,2015149349,0
3,0.6000000000000001,B,ramp,True,False,31.460000000000004,18.200000000000017,2,decelerate,-3.0,-2.9999999999999716,39.46000000000001,18.200000000000017,2,2,decelerate-decelerate,-0.1073755994439125,0.060452673584222794,0.1012190505862236,2,0.1012190505862236,0.060452673584222794,0.04076637700200081,0.2085946500301361,"[true, true, true]",False,False,False,65032,0,0d1908d687100f5da9e16584726ac7f7a062209261bffeb0dafabe0151971730,validation_001,0,0,2015149349,0
3,0.6000000000000001,B_front,background_mainline,True,,132.0,20.0,,,,,,,,,,,,,,,,,,,,,,65032,0,0d1908d687100f5da9e16584726ac7f7a062209261bffeb0dafabe0151971730,validation_001,0,0,2015149349,0
3,0.6000000000000001,B_rear,background_mainline,True,,15.160806593176423,17.991133480078556,,,,,,,,,,,,,,,,,,,,,,65032,0,0d1908d687100f5da9e16584726ac7f7a062209261bffeb0dafabe0151971730,validation_001,0,0,2015149349,0
4,0.8,A,mainline,True,False,43.040000000000006,17.600000000000023,2,decelerate,-3.0,-2.9999999999999716,35.040000000000006,17.600000000000023,2,2,decelerate-decelerate,-0.09458602964878082,-0.018223058432340622,0.22374330461025238,2,0.22374330461025238,-0.018223058432340622,0.241966363042593,0.3183293342590332,"[true, true, true]",False,False,False,65032,0,0d1908d687100f5da9e16584726ac7f7a062209261bffeb0dafabe0151971730,validation_001,0,0,2015149349,0
4,0.8,B,ramp,True,False,35.040000000000006,17.600000000000023,2,decelerate,-3.0,-2.9999999999999716,43.040000000000006,17.600000000000023,2,2,decelerate-decelerate,-0.10796409845352173,0.06007254123687744,0.10140647739171982,2,0.10140647739171982,0.06007254123687744,0.04133393615484238,0.20937057584524155,"[true, true, true]",False,False,False,65032,0,0d1908d687100f5da9e16584726ac7f7a062209261bffeb0dafabe0151971730,validation_001,0,0,2015149349,0
4,0.8,B_front,background_mainline,True,,136.0,20.0,,,,,,,,,,,,,,,,,,,,,,65032,0,0d1908d687100f5da9e16584726ac7f7a062209261bffeb0dafabe0151971730,validation_001,0,0,2015149349,0
4,0.8,B_rear,background_mainline,True,,18.714524474082697,17.54789966091232,,,,,,,,,,,,,,,,,,,,,,65032,0,0d1908d687100f5da9e16584726ac7f7a062209261bffeb0dafabe0151971730,validation_001,0,0,2015149349,0
5,1.0,A,mainline,True,False,46.5,17.00000000000003,2,decelerate,-3.0,-2.9999999999999716,38.5,17.00000000000003,2,2,decelerate-decelerate,-0.09199847280979156,-0.016086220741271973,0.2231607288122177,2,0.2231607288122177,-0.016086220741271973,0.23924694955348969,0.3151592016220093,"[true, true, true]",False,False,False,65032,0,0d1908d687100f5da9e16584726ac7f7a062209261bffeb0dafabe0151971730,validation_001,0,0,2015149349,0
5,1.0,B,ramp,True,False,38.5,17.00000000000003,2,decelerate,-3.0,-2.9999999999999716,46.5,17.00000000000003,2,2,decelerate-decelerate,-0.10854076594114304,0.059665728360414505,0.10159705579280853,2,0.10159705579280853,0.059665728360414505,0.04193132743239403,0.21013782173395157,"[true, true, true]",False,False,False,65032,0,0d1908d687100f5da9e16584726ac7f7a062209261bffeb0dafabe0151971730,validation_001,0,0,2015149349,0
5,1.0,B_front,background_mainline,True,,140.0,20.0,,,,,,,,,,,,,,,,,,,,,,65032,0,0d1908d687100f5da9e16584726ac7f7a062209261bffeb0dafabe0151971730,validation_001,0,0,2015149349,0
5,1.0,B_rear,background_mainline,True,,22.180620559006787,17.11421946543141,,,,,,,,,,,,,,,,,,,,,,65032,0,0d1908d687100f5da9e16584726ac7f7a062209261bffeb0dafabe0151971730,validation_001,0,0,2015149349,0
6,1.2000000000000002,A,mainline,True,False,49.84000000000002,16.400000000000034,2,decelerate,-3.0,-3.000000000000007,41.84000000000002,16.400000000000034,2,2,decelerate-decelerate,-0.08971364796161652,-0.014463033527135849,0.22292275726795197,2,0.22292275726795197,-0.014463033527135849,0.23738579079508781,0.3126364052295685,"[true, true, true]",False,False,False,65032,0,0d1908d687100f5da9e16584726ac7f7a062209261bffeb0dafabe0151971730,validation_001,0,0,2015149349,0
6,1.2000000000000002,B,ramp,True,False,41.84000000000002,16.400000000000034,2,decelerate,-3.0,-3.000000000000007,49.84000000000002,16.400000000000034,2,2,decelerate-decelerate,-0.10897962749004364,0.05922531336545944,0.10206865519285202,2,0.10206865519285202,0.05922531336545944,0.04284334182739258,0.21104828268289566,"[true, true, true]",False,False,False,65032,0,0d1908d687100f5da9e16584726ac7f7a062209261bffeb0dafabe0151971730,validation_001,0,0,2015149349,0
6,1.2000000000000002,B_front,background_mainline,True,,144.0,20.0,,,,,,,,,,,,,,,,,,,,,,65032,0,0d1908d687100f5da9e16584726ac7f7a062209261bffeb0dafabe0151971730,validation_001,0,0,2015149349,0
6,1.2000000000000002,B_rear,background_mainline,True,,25.560601121880428,16.686223483181255,,,,,,,,,,,,,,,,,,,,,,65032,0,0d1908d687100f5da9e16584726ac7f7a062209261bffeb0dafabe0151971730,validation_001,0,0,2015149349,0
7,1.4000000000000001,A,mainline,True,False,53.06000000000003,15.800000000000036,2,decelerate,-3.0,-3.000000000000007,45.06000000000003,15.800000000000036,2,2,decelerate-decelerate,-0.08746619522571564,-0.012867294251918793,0.2226412445306778,2,0.2226412445306778,-0.012867294251918793,0.2355085387825966,0.31010743975639343,"[true, true, true]",False,False,False,65032,0,0d1908d687100f5da9e16584726ac7f7a062209261bffeb0dafabe0151971730,validation_001,0,0,2015149349,0
7,1.4000000000000001,B,ramp,True,False,45.06000000000003,15.800000000000036,2,decelerate,-3.0,-3.000000000000007,53.06000000000003,15.800000000000036,2,2,decelerate-decelerate,-0.1093631163239479,0.05875619500875473,0.10262364149093628,2,0.10262364149093628,0.05875619500875473,0.04386744648218155,0.21198675781488419,"[true, true, true]",False,False,False,65032,0,0d1908d687100f5da9e16584726ac7f7a062209261bffeb0dafabe0151971730,validation_001,0,0,2015149349,0
7,1.4000000000000001,B_front,background_mainline,True,,148.0,20.0,,,,,,,,,,,,,,,,,,,,,,65032,0,0d1908d687100f5da9e16584726ac7f7a062209261bffeb0dafabe0151971730,validation_001,0,0,2015149349,0
