policy_step,simulation_time,controller,controller_role,active,exited,route_progress,speed,commanded_action,commanded_action_name,commanded_acceleration,realised_acceleration,peer_progress,peer_speed,action_A,action_B,joint_action_category,Q_maintain,Q_accelerate,Q_decelerate,greedy_action,best_Q,second_best_Q,Q_margin,Q_range,action_mask,collision_flag,termination_flag,truncation_flag,master_seed,checkpoint_step,checkpoint_sha256,validation_block_id,assignment,scenario_block,eval_seed,episode_index
4,0.8,B,ramp,True,False,35.040000000000006,17.600000000000023,2,decelerate,-3.0,-2.9999999999999716,44.64000000000001,21.600000000000023,1,2,accelerate-decelerate,-0.10425442457199097,-0.046110279858112335,0.023674622178077698,2,0.023674622178077698,-0.046110279858112335,0.06978490203619003,0.12792904675006866,"[true, true, true]",False,False,False,65035,0,450796d44e20b1da04408a71b608e55311655dee19f40a31e718e6b6a2362c89,validation_001,0,0,680349182,0
4,0.8,B_front,background_mainline,True,,136.0,20.0,,,,,,,,,,,,,,,,,,,,,,65035,0,450796d44e20b1da04408a71b608e55311655dee19f40a31e718e6b6a2362c89,validation_001,0,0,680349182,0
4,0.8,B_rear,background_mainline,True,,19.21015294496658,18.869811826831636,,,,,,,,,,,,,,,,,,,,,,65035,0,450796d44e20b1da04408a71b608e55311655dee19f40a31e718e6b6a2362c89,validation_001,0,0,680349182,0
5,1.0,A,mainline,True,False,49.000000000000014,22.00000000000003,1,accelerate,2.0,2.0000000000000284,38.5,17.00000000000003,1,2,accelerate-decelerate,-0.149183988571167,0.03401514142751694,0.02198486030101776,1,0.03401514142751694,0.02198486030101776,0.012030281126499176,0.18319912999868393,"[true, true, true]",False,False,False,65035,0,450796d44e20b1da04408a71b608e55311655dee19f40a31e718e6b6a2362c89,validation_001,0,0,680349182,0
5,1.0,B,ramp,True,False,38.5,17.00000000000003,2,decelerate,-3.0,-2.9999999999999716,49.000000000000014,22.00000000000003,1,2,accelerate-decelerate,-0.1019691452383995,-0.047568537294864655,0.02521517127752304,2,0.02521517127752304,-0.047568537294864655,0.0727837085723877,0.12718431651592255,"[true, true, true]",False,False,False,65035,0,450796d44e20b1da04408a71b608e55311655dee19f40a31e718e6b6a2362c89,validation_001,0,0,680349182,0
5,1.0,B_front,background_mainline,True,,140.0,20.0,,,,,,,,,,,,,,,,,,,,,,65035,0,450796d44e20b1da04408a71b608e55311655dee19f40a31e718e6b6a2362c89,validation_001,0,0,680349182,0
5,1.0,B_rear,background_mainline,True,,22.982495064768763,18.858543950116044,,,,,,,,,,,,,,,,,,,,,,65035,0,450796d44e20b1da04408a71b608e55311655dee19f40a31e718e6b6a2362c89,validation_001,0,0,680349182,0
6,1.2000000000000002,A,mainline,True,False,53.44000000000002,22.400000000000034,1,accelerate,2.0,2.0000000000000284,41.84000000000002,16.400000000000034,1,2,accelerate-decelerate,-0.151540607213974,0.035471249371767044,0.024759627878665924,1,0.035471249371767044,0.024759627878665924,0.01071162149310112,0.18701185658574104,"[true, true, true]",False,False,False,65035,0,450796d44e20b1da04408a71b608e55311655dee19f40a31e718e6b6a2362c89,validation_001,0,0,680349182,0
6,1.2000000000000002,B,ramp,True,False,41.84000000000002,16.400000000000034,2,decelerate,-3.0,-3.000000000000007,53.44000000000002,22.400000000000034,1,2,accelerate-decelerate,-0.09956523776054382,-0.04945500195026398,0.02734772115945816,2,0.02734772115945816,-0.04945500195026398,0.07680272310972214,0.12691295892000198,"[true, true, true]",False,False,False,65035,0,450796d44e20b1da04408a71b608e55311655dee19f40a31e718e6b6a2362c89,validation_001,0,0,680349182,0
6,1.2000000000000002,B_front,background_mainline,True,,144.0,20.0,,,,,,,,,,,,,,,,,,,,,,65035,0,450796d44e20b1da04408a71b608e55311655dee19f40a31e718e6b6a2362c89,validation_001,0,0,680349182,0
6,1.2000000000000002,B_rear,background_mainline,True,,26.755377931069873,18.8736575091406,,,,,,,,,,,,,,,,,,,,,,65035,0,450796d44e20b1da04408a71b608e55311655dee19f40a31e718e6b6a2362c89,validation_001,0,0,680349182,0
